Neighborhood_FID,Total number of buildings,Percentage of impervious land,Percentage of water,Percentage of vegetation,Distance from center,Percentage of German citizens,Amount of residents per building,Percentage of Houses with building year under 1919,Percentage of Houses with building year 1919-1948,Percentage of Houses with building year 1948-1978,Percentage of Houses with building year 1979-1995,Percentage of Houses with building year 1996-2008,Percentage of Houses with building year >2009,Percentage of Age Group under 18,Percentage of Age Group 18-29,Percentage of Age Group 30-49,Percentage of Age Group 50-64,Percentage of Age Group >65,Percentage of Household size 1,Percentage of Household size 2,Percentage of Household size 3,Percentage of Household size 4,Percentage of Household size 5,Percentage of Household size >=6,City_Name,Land_Value
1.0,2419,0.629144631914715,0.058339628976748,0.3125157391085369,0.0,0.762214983713355,1.5229433650268707,0.05746176105828855,0.024803637866887142,0.732534105002067,0.12773873501446878,0.020256304257957835,0.002066969822240595,0.05374592833876222,0.27958740499457113,0.3574918566775244,0.16775244299674266,0.13979370249728557,0.7073722297602895,0.21528720036182722,0.05834464043419267,0.017639077340569877,0.0013568521031207597,0.0,Bremen,1811.5
2.0,3412,0.6791031704326502,0.0046417936591347,0.3162550359082151,0.0070104584272179,0.8179597971068946,1.5600820633059789,0.03341148886283705,0.02403282532239156,0.8558030480656507,0.067116060961313,0.006447831184056272,0.0,0.06913394702235581,0.3007702423445425,0.30170956227691154,0.1418373097877137,0.18636107458200263,0.6614761756462161,0.23917782622236064,0.06166303332295235,0.026160074743070694,0.007785736530675802,0.003737153534724385,Bremen,1314.3
3.0,5065,0.5160898603521554,0.0048573163327261,0.4790528233151184,0.0161952219261575,0.8971442113994549,1.6661401776900295,0.42685093780848965,0.09180651530108588,0.2795656465942744,0.155182625863771,0.009081934846989142,0.0,0.10404076312359284,0.2113994549117194,0.349330489394478,0.209503495674843,0.12513330963384287,0.5656544932293804,0.2724661469019286,0.09622486663931062,0.050061551087402546,0.00943783340172343,0.006155108740254411,Bremen,1623.6999999999998
4.0,84,0.5235607055351752,0.1054918576475843,0.3709474368172404,0.1171853886179814,0.6273584905660378,2.5238095238095237,0.05952380952380952,0.23809523809523808,0.6190476190476191,0.0,0.03571428571428571,0.0,0.2358490566037736,0.19811320754716982,0.2358490566037736,0.2169811320754717,0.10849056603773585,0.34285714285714286,0.35714285714285715,0.12857142857142856,0.12857142857142856,0.04285714285714286,0.0,Bremen,172.7
5.0,0,0.5061845980324582,0.1529544457672786,0.3408609562002632,0.0746894561757497,1.0,,,,,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,,,,,,,Bremen,90.29999999999998
6.0,260,0.6726342710997443,0.1423090975520643,0.1850566313481914,0.0257923976635755,0.8367346938775511,1.6961538461538461,0.10384615384615385,0.12692307692307692,0.6153846153846154,0.10384615384615385,0.011538461538461539,0.0,0.14512471655328799,0.2585034013605442,0.30839002267573695,0.1927437641723356,0.09070294784580499,0.5021097046413502,0.34177215189873417,0.08016877637130802,0.05063291139240506,0.012658227848101266,0.012658227848101266,Bremen,60.0
7.0,4217,0.5767852219465123,0.0385304659498207,0.3846843121036669,0.0068663475274702,0.8775100401606426,1.5352146075409059,0.06734645482570548,0.048138487076120465,0.6627934550628409,0.12876452454351434,0.05620109082285985,0.0,0.0637936360827927,0.29703429101019463,0.3106271238801359,0.1516836577077541,0.1790237874575224,0.6396039603960396,0.2571782178217822,0.0702970297029703,0.02574257425742574,0.005693069306930693,0.0014851485148514852,Bremen,1243.5
8.0,2530,0.6836158192090396,0.0007704160246533,0.3156137647663071,0.0210752894889359,0.8451080359310512,1.6280632411067193,0.12806324110671938,0.08695652173913043,0.7047430830039526,0.0533596837944664,0.011067193675889328,0.0,0.08667152221412965,0.3143966982277252,0.3233794610342316,0.15270696771060938,0.12308812818645302,0.5677896466721446,0.2896466721446179,0.08668857847165161,0.041084634346754315,0.007395234182415777,0.007395234182415777,Bremen,657.9
9.0,4450,0.4962994290547684,0.0,0.5037005709452316,0.0175126016948959,0.8964413722478238,1.7555056179775281,0.26179775280898876,0.3408988764044944,0.36067415730337077,0.009213483146067417,0.009213483146067417,0.0011235955056179776,0.115847414234511,0.2525601638504864,0.3247567844342038,0.17857142857142858,0.1282642089093702,0.49988401762932033,0.30920900023196474,0.11296682904198561,0.05636743215031315,0.018093249826026444,0.003479471120389701,Bremen,822.0
10.0,2986,0.5593280914939243,0.0,0.4406719085060758,0.0154065201580606,0.8648862512363996,1.6929002009377092,0.19993302076356329,0.24547890154052243,0.4896182183523108,0.03750837240455459,0.005023442732752847,0.002344273275284662,0.1155291790306627,0.26350148367952525,0.3262116716122651,0.16162215628090998,0.13333333333333333,0.5534047701348082,0.27652955409609403,0.09160041479433115,0.05184929139301763,0.018320082958866227,0.00829588662288282,Bremen,769.7
11.0,2870,0.209060773480663,0.0,0.790939226519337,0.0184734815904083,0.8818720621295728,1.7048780487804878,0.021254355400696864,0.0578397212543554,0.9013937282229966,0.0020905923344947735,0.0013937282229965157,0.005923344947735192,0.12078479460453709,0.1863887185775598,0.2742693643981198,0.1794400163498876,0.23911710606989578,0.5333806818181818,0.30717329545454547,0.09588068181818182,0.04971590909090909,0.01278409090909091,0.001065340909090909,Bremen,634.7
12.0,3884,0.5419687142312095,0.0001907668828691,0.4578405188859214,0.0135619376038323,0.9057001052789894,1.7118949536560246,0.34449021627188464,0.17121524201853758,0.32852729145211124,0.07492276004119465,0.04943357363542739,0.0,0.11114453301248307,0.23041058805835463,0.34065272973379457,0.17596631072341706,0.14122424424725522,0.5252688172043011,0.2970430107526882,0.1032258064516129,0.05161290322580645,0.011559139784946236,0.01129032258064516,Bremen,765.2
13.0,793,0.4453534427590501,0.0017814829548402,0.5528650742861096,0.0314377880271956,0.8217054263565892,1.789407313997478,0.04791929382093316,0.12862547288776796,0.6015132408575031,0.07818411097099622,0.07566204287515763,0.0,0.11698379140239605,0.21141649048625794,0.27061310782241016,0.19238900634249473,0.2029598308668076,0.4993197278911565,0.3238095238095238,0.10340136054421768,0.05714285714285714,0.012244897959183673,0.004081632653061225,Bremen,129.7
14.0,3583,0.2040485829959514,0.0357354925775978,0.7602159244264507,0.0273324251043895,0.8223786066150598,1.9829751604800447,0.1456879709740441,0.2640245604242255,0.3374267373709182,0.08037957019257605,0.11219648339380407,0.012001116382919341,0.15805770584095707,0.19985925404644617,0.3033075299085151,0.17086558761435608,0.16678395496129486,0.44064327485380117,0.3134502923976608,0.13187134502923978,0.0739766081871345,0.026608187134502925,0.013450292397660818,Bremen,218.7
15.0,3615,0.2578102018003177,0.0457531721284148,0.6964366260712674,0.0573365154814179,0.961792982894244,2.215491009681881,0.034854771784232366,0.10013831258644537,0.2827109266943292,0.4392807745504841,0.03734439834024896,0.014937759336099586,0.13921837932326134,0.10463228867524035,0.22861780496940942,0.2550880259707829,0.27456611312273693,0.26766657052206516,0.44505336025382175,0.166714738967407,0.10008653014133256,0.017882895875396595,0.0025959042399769255,Bremen,278.6
16.0,3840,0.2639451408978892,0.0009000321440051,0.7351548269581056,0.0647067698862031,0.9323728631329965,2.422135416666667,0.03411458333333333,0.0359375,0.33307291666666666,0.19401041666666666,0.2875,0.0067708333333333336,0.19309751639608644,0.12063219008708741,0.29545210192452426,0.19761315987528222,0.19277497043328673,0.27002967359050445,0.3485298084704613,0.17804154302670624,0.15942810898300513,0.03371998920960345,0.01025087671971945,Bremen,295.3
17.0,6151,0.2894889929885796,0.0107467621934417,0.6997642448179786,0.0419236878298884,0.8224426137726946,2.0326776133961957,0.019183872541050237,0.15314582994635018,0.6816777759713868,0.05641359128596976,0.03755486912697122,0.0009754511461550967,0.18179636887147085,0.15172358633927857,0.27993281612413023,0.19411341278093258,0.19451331680396705,0.4238690074274139,0.312288993923025,0.13318703578663066,0.0886225523295071,0.028865631330182308,0.013166779203241054,Bremen,206.5
18.0,2488,0.1770775458369712,0.0005555996507659,0.8223668545122629,0.0502895640361094,0.9476409666283084,2.0956591639871385,0.006028938906752411,0.03657556270096463,0.7483922829581994,0.07757234726688103,0.07033762057877814,0.003617363344051447,0.15439202148062908,0.11315688530878404,0.25949367088607594,0.19198312236286919,0.2807825086306099,0.34837621256853646,0.37536904259805987,0.14803880219316745,0.10459721636440321,0.021931674398987768,0.001687051876845213,Bremen,247.1
